"effect","term","estimate","std.error","statistic","p.value"
"fixed","(Intercept)"," -60.29 [ -68.48,  -52.11]",4.17,-14.46,"<0.01"
"fixed","time","   7.22 [   7.14,    7.30]",0.04,179.32,"<0.01"
"fixed","sexFemale","  -0.16 [  -0.33,    0.01]",0.09,-1.84,"0.07"
"fixed","age","   1.70 [   1.62,    1.78]",0.04,42.36,"<0.01"
"fixed","bmi","   0.18 [   0.12,    0.23]",0.03,6.54,"<0.01"
"fixed","jobPaid Job","  -5.14 [  -6.71,   -3.56]",0.8,-6.39,"<0.01"
"fixed","adl","   0.07 [  -0.17,    0.30]",0.12,0.55,"0.58"
"fixed","wzcNursing Home","   1.92 [   1.72,    2.11]",0.1,19.56,"<0.01"
"fixed","cdrsb0","   0.00 [  -0.01,    0.02]",0.01,0.26,"0.79"
"fixed","time:cdrsb0","  -0.02 [  -0.03,   -0.01]",0,-5.25,"<0.01"
